ID;Kategoria;Pytanie;Odpowiedz A;Odpowiedz B;Odpowiedz C;Odpowiedz D;Poprawna odpowiedz
207;Filmy i seriale;"W którym roku wyemitowano pierwszy odcinek ""Mody na sukces""?";1985;1987;1990;1994;1987
208;Filmy i seriale;"Jaki numer widnieje na drzwiach mieszkania Moniki w ""Przyjaciołach"" (późniejsze sezony)?";5;20;4;18;20
209;Filmy i seriale;Który aktor ma najwięcej nominacji do Oscara w historii (wśród mężczyzn)?;Marlon Brando;Robert De Niro;Jack Nicholson;Al Pacino;Jack Nicholson
210;Filmy i seriale;Kto podkładał głos Dartha Vadera (tylko głos)?;David Prowse;James Earl Jones;Hayden Christensen;Sebastian Shaw;James Earl Jones
211;Filmy i seriale;"Jak nazywa się miasto, w którym dzieje się akcja ""Simpsonów""?";Quahog;South Park;Springfield;Fairview;Springfield
212;Filmy i seriale;"Kto wyreżyserował ""Mechaniczną pomarańczę""?";Stanley Kubrick;David Lynch;Ridley Scott;Francis Ford Coppola;Stanley Kubrick
213;Filmy i seriale;"Kto zagrał rolę Sarumana we ""Władcy Pierścieni""?";Ian McKellen;Christopher Lee;Patrick Stewart;John Hurt;Christopher Lee
214;Filmy i seriale;"Jak nazywa się miasteczko w serialu ""Stranger Things""?";Hawkins;Derry;Castle Rock;Twin Peaks;Hawkins
215;Filmy i seriale;"Jaki tytuł nosi pierwszy odcinek ""Gwiezdnych Wojen"" (chronologia fabuły)?";Nowa Nadzieja;Mroczne Widmo;Atak Klonów;Zemsta Sithów;Mroczne Widmo
216;Filmy i seriale;Kto zagrał rolę Voldemorta w większości filmów?;Ralph Fiennes;Alan Rickman;Gary Oldman;Jason Isaacs;Ralph Fiennes
217;Filmy i seriale;"Jak nazywa się fikcyjny język w ""Avatarze""?";Klingoński;Dothraki;Na'vi;Sindarin;Na'vi
218;Filmy i seriale;"W jakim stanie dzieje się akcja ""Breaking Bad""?";Teksas;Kalifornia;Nowy Meksyk;Arizona;Nowy Meksyk
219;Filmy i seriale;"Jak nazywa się główny bohater serialu ""Peaky Blinders""?";Arthur Shelby;Thomas Shelby;John Shelby;Michael Gray;Thomas Shelby
220;Filmy i seriale;W którym filmie występuje postać McLovina?;American Pie;Supersamiec (Superbad);Kac Vegas;Projekt X;Supersamiec (Superbad)
221;Filmy i seriale;"Kto jest twórcą ""Miasteczka South Park""?";Matt Groening;Seth MacFarlane;Trey Parker i Matt Stone;Mike Judge;Trey Parker i Matt Stone
222;Filmy i seriale;W jakim filmie debiutowała Natalie Portman?;Gwiezdne Wojny;Leon Zawodowiec;Gorączka;Piękna dziewczyna;Leon Zawodowiec
223;Filmy i seriale;"Jak nazywa się planeta-pustynia w ""Diunie""?";Arrakis;Caladan;Giedi Prime;Kaitain;Arrakis
224;Filmy i seriale;Kto zagrał rolę Gandalfa?;Christopher Lee;Ian McKellen;Richard Harris;Michael Gambon;Ian McKellen
225;Filmy i seriale;"Jak nazywa się główny bohater ""Biura""  menadżer regionalny (The Office US)?";David Brent;Michael Scott;Jim Halpert;Dwight Schrute;Michael Scott
226;Cytaty;"Z jakiego filmu pochodzi ten cytat?
""Mają rozmach, skurwysyny.""";Dzień Świra;Kiler;Seksmija;Poranek Kojota;Kiler
227;Cytaty;"Z jakiego filmu pochodzi ten cytat?
""Ewuniu, to był Szakal, przedstawił się i od razu mnie zabił.""";Miś;Psy;Dzień Świra;Kiler-ów 2-óch;Kiler-ów 2-óch
228;Cytaty;"Z jakiego filmu pochodzi ten cytat?
""You talking to me?""";Pulp Fiction;Święci z Bostonu;American Psycho;Taxi Dirver;Taxi Dirver
229;Cytaty;"Z jakiego filmu pochodzi ten cytat?
""I'll be back""";Terminator;Blade Runner 2049;Matrix;RoboCop;The Terminator
230;Cytaty;"Z jakiego filmu pochodzi ten cytat?
""Hasta la vista, baby""";12 Małp;Ja, robor;Terminator 2: Dzień Sądu;Ex Machina;Terminator 2: Judgment Day
231;Cytaty;"Z jakiego filmu pochodzi ten cytat?
""My precious""";Labirynt;Władca Pierścieni: Dwie Wieże;Avatar;Harry Potter: Książe Półkrwi;Władca Pierścieni: Dwie Wieże
232;Cytaty;"Z jakiego filmu pochodzi ten cytat?
""Nazywam się Maximus Decimus Meridius, dowódca Armii Północy, generał Legionów Feliksa i lojalny sługa PRAWDZIWEGO cesarza Marka Aureliusza. Ojciec zamordowanego syna, mąż zamordowanej żony. I dokonam zemsty w tym, lub następnym życiu.""
(ang) ""My name is Maximus Decimus Meridius, commander of the Armies of the North, General of the Felix Legions and loyal servant to the TRUE emperor, Marcus Aurelius. Father to a murdered son, husband to a murdered wife. And I will have my vengeance, in this life or the next.""";Troja;300;Ostatni Legion;Gladiator;Gladiator
233;Cytaty;"Z jakiego filmu pochodzi ten cytat?
""Ale będzie ubaw, męskie rozmowy, takie o życiu i śmierci, a rano… zrobię jajecznicę.""";Skok przez płot;Shrek;Wallace i Gromit: Klątwa Królika;;Shrek
234;Cytaty;"Z jakiego filmu pochodzi ten cytat?
""(szeptem) To jest ta scena, w której dajecie nogę.""";Madagaskar;Skok przez płot;Shrek;Kung Fu Panda;Shrek
235;Cytaty;"Z jakiego filmu pochodzi ten cytat?
""Minęły osiemdziesiąt cztery lata, a ja nadal pamiętam zapach świeżej farby. Zastawa była nowiutka, a pościel nigdy nie używana.""";Ciekawy przypadek Benjamina Buttona;Wiek Adelaine;Efekt motyla;Titanic;Titanic
236;Cytaty;"Z jakiego filmu pochodzi ten cytat?
""Jestem królem świata!""";Titanic;Złap mnie jeśli potrafisz;Terminal;Cast Away - Poza światem;Titanic
237;Cytaty;"Z jakiego filmu pochodzi ten cytat?
""Pewnie słyszałeś, że nie robimy w branży jeńcobiorczej. Zajmujemy się zabijaniem nazistów i muszę powiedzieć, że interes kwitnie!""";Iron Sky;Jojo Rabbit;Bękarty Wojny;Pianista;Bękarty Wojny
238;Cytaty;"Z jakiego filmu pochodzi ten cytat?
""To samobójstwo! Nikłe szanse powodzenia! Na co czekamy?""";Harry Potter i więzień Azkabanu;Władca Pierścieni: Powrót króla;Jak wytresować smoka;Opowieści z Narnii: Lew, czarownica i stara szafa;Władca Pierścieni: Powrót króla
239;Cytaty;"Z jakiego filmu pochodzi ten cytat?
""Ale dlaczego właśnie rum?!""";Kapitan Phillips;Goonies;Gwiezdny pył;Piraci z Karaibów: Klątwa Czarnej Perły;Piraci z Karaibów: Klątwa Czarnej Perły
240;Cytaty;"Z jakiego filmu pochodzi ten cytat?
""Brakuje mi zęba? Brak mi siekacza!""";Projekt X;Kac Vegas;Last Vegas;Ted 2;Kac Vegas
241;Cytaty;"Z jakiego filmu pochodzi ten cytat?
""Ciemność, widzę ciemność, ciemność widzę.""";Kingsajz;Seksmisja;Miś;Vabank;Seksmisja
242;Cytaty;"Z jakiego filmu pochodzi ten cytat?
""Albo też wcale nie płuczą ust po myciu zębów. To co oni robią z tą pastą, jedzą ją? Połykają, do kurwy nędzy, co z nią robią? Ja nawet gardło płuczę po myciu zębów. Opłukiwam.""";Kiler;Miś;Dzień świra;Seksmisja;Dzień świra
243;Cytaty;"Z jakiego filmu pochodzi ten cytat?
""Kotlety z psa, chyba zmielone razem z budą.""";Dzień świra;Baby są jakieś inne;7 uczuć;Dzień świstaka;Dzień świra
244;Cytaty;"Z jakiego filmu pochodzi ten cytat?
""Co do was, nieszczęśnicy, najbliższa przyszłość stawia przed panami dwie możliwości. Pierwsza – możecie wyciągnąć żywego Specka spod konia i donieść go do miasta. To jest jakieś 60 kilometrów z kierunku, z którego przyszliście. Druga – możecie się rozkuć, wziąć karabin, wpakować mu kulkę w łeb, pochować obu i udać się w bardziej oświecone rejony. Wasz wybór. Na wypadek, gdyby astronomia byłaby obca – to jest Gwiazda Polarna.""";Nienawistna Ósemka;Kill Bill;Django;Rzeka tajemnic;Django
245;Cytaty;"Z jakiego filmu pochodzi ten cytat?
""Sorry Dolores, jestem zbyt młody i zbyt przystojny, żeby za to płacić.""";Poranek kojota;Miś;Seksmija;Kiler-ów 2-óch;Poranek kojota
246;Sport;Kto jest rekordzistą w liczbie wygranych turniejów wielkoszlemowych (mężczyźni, stan na 2024)?;Roger Federer;Novak Djoković;Rafael Nadal;Pete Sampras;Novak Djoković
247;Sport;Jaki dystans ma bieg maratoński?;40 km;42,195 km;45 km;50 km;42,195 km
248;Sport;W którym roku odbyły się pierwsze nowożytne Igrzyska Olimpijskie?;1896;1900;1912;1924;1896
249;Sport;Ile kół (pierścieni) znajduje się na fladze olimpijskiej?;4;5;6;7;5
250;Sport;W jakiej dyscyplinie rywalizuje się o Puchar Stanleya?;Koszykówka;Hokej na lodzie;Baseball;Futbol amerykański;Hokej na lodzie
251;Sport;Co oznacza skrót VAR w piłce nożnej?;Video Assistant Referee;Very Accurate Referee;Video Action Replay;Virtual Area Rule;Video Assistant Referee
252;Sport;Ile bil jest na stole w snookerze na początku gry (łącznie)?;15;21;22;25;22
253;Sport;Ile trwają tercje w hokeju na lodzie?;15 min;20 min;30 min;45 min;20 min
254;Sport;Kto jest najmłodszym mistrzem świata w historii Formuły 1?;Lewis Hamilton;Sebastian Vettel;Max Verstappen;Michael Schumacher;Sebastian Vettel
255;Sport;Iga Świątek wygrała swój pierwszy Wielki Szlem w:;Australii;USA;Francji (Roland Garros);Anglii (Wimbledon);Francji (Roland Garros)
256;Sport;W jakim mieście znajduje się słynny tor wyścigowy Monza?;W Rzymie;W Mediolanie (okolicach);W Turynie;W Neapolu;W Mediolanie (okolicach)
257;Sport;Ile graczy liczy drużyna piłki ręcznej na boisku?;5;6;7;8;7
258;Sport;Co oznacza skrót MMA?;Mixed Martial Arts;Modern Martial Arts;Men's Martial Arts;Master Martial Arts;Mixed Martial Arts
259;Sport;Kto był trenerem polskiej kadry siatkarzy, gdy zdobywali MŚ w 2014 i 2018?;Antiga / Heynen;Wagner / Lozano;Grbic / Castellani;Rezende;Antiga / Heynen
260;Sport;Gdzie znajduje się siedziba FIFA?;Paryż;Londyn;Zurych;Nowy Jork;Zurych
261;Sport;"Jaki dystans pokonują zawodnicy w biegu na ""jedno okrążenie"" (stadion)?";100 m;200 m;400 m;800 m;400 m
262;Sport;"Ile wynosi ""oczko"" w grze w karty, ale też potoczna nazwa 21 w kasynie?";Poker;Makao;Blackjack;Brydż;Blackjack
263;Sport;Jak nazywa się kij używany w golfie do uderzeń na greenie (do dołka)?;Driver;Iron;Wedge;Putter;Putter
264;Sport;Jaka jest maksymalna liczba punktów w jednej rozgrywce w kręglach (bowling)?;200;300;400;500;300
265;Sport;Jak nazywa się zawodnik, który dyktuje tempo w wioślarstwie (siedzi na rufie)?;Szlakowy;Sternik;Wioślarz;Kapitan;Sternik
266;Sport;Ile trwa runda w boksie zawodowym?;2 minuty;3 minuty;4 minuty;5 minut;3 minuty
267;Sport;Kto wygrał najwięcej wyścigów w historii F1 (stan na 2024)?;Michael Schumacher;Ayrton Senna;Lewis Hamilton;Alain Prost;Lewis Hamilton
268;Sport;W jakim mieście odbywają się zawody skoków narciarskich w Nowy Rok?;Oberstdorf;Garmisch-Partenkirchen;Innsbruck;Bischofshofen;Garmisch-Partenkirchen
269;Sport;Kto jest jedynym pośmiertnym mistrzem świata Formuły 1?;Ayrton Senna;Jochen Rindt;Gilles Villeneuve;Jim Clark;Jochen Rindt
270;Sport;Która reprezentacja piłkarska jako jedyna zagrała we wszystkich finałach MŚ (do 2022)?;Niemcy;Argentyna;Brazylia;Włochy;Brazylia
271;Sport;Ile razy Michael Schumacher zdobywał mistrzostwo świata F1?;5;6;7;8;7
272;Sport;Jaką nazwę nosi stadion narodowy Brazylii (oficjalnie Estádio Jornalista Mário Filho)?;Morumbi;Maracan?;Mineir?o;Arena Corinthians;Maracan?
273;Sport;Jaką długość ma basen olimpijski?;25 m;50 m;60 m;100 m;50 m
274;Sport;Jak nazywa się styl skakania wzwyż, w którym zawodnik przeskakuje poprzeczkę plecami?;Styl nożycowy;Styl przerzutowy;Flop (Fosbury Flop);Styl naturalny;Flop (Fosbury Flop)
275;Sport;Jaki jest jedyny turniej Wielkiego Szlema rozgrywany na kortach ziemnych?;Australian Open;Wimbledon;US Open;Roland Garros;Roland Garros
276;Sport;Który polski klub piłkarski jako jedyny dotarł do finału europejskiego pucharu (Puchar Zdobywców Pucharów 1970)?;Legia Warszawa;Górnik Zabrze;Wisła Kraków;Widzew Łódź;Górnik Zabrze
277;Sport;W jakiej konkurencji Robert Korzeniowski zdobył 4 złote medale olimpijskie?;Maraton;Chód sportowy;Bieg na 10 km;Triatlon;Chód sportowy
278;Sport;Co oznacza skrót KO w boksie?;Knock Out;Kick Off;Keep On;Knock Off;Knock Out
279;Sport;Ile wynosi dystans biegu z przeszkodami (standardowy olimpijski)?;1500 m;3000 m;5000 m;10000 m;3000 m
280;Sport;Kto wygrał Turniej Czterech Skoczni wygrywając wszystkie 4 konkursy (jako pierwszy)?;Adam Małysz;Sven Hannawald;Kamil Stoch;Ryoyu Kobayashi;Sven Hannawald
281;Sport;Jaki przydomek nosi reprezentacja Nowej Zelandii w rugby?;Wallabies;Springboks;All Blacks;Pumas;All Blacks
282;Sport;Jaki numer nosił na koszulce Michael Jordan (najsłynniejszy)?;10;23;32;45;23
283;Sport;Ile razy Adam Małysz zdobył Kryształową Kulę?;2;3;4;5;4
284;Sport;Kto wygrał Ligę Mistrzów w 2005 roku po słynnym finale w Stambule (3:0 -> 3:3)?;AC Milan;Liverpool;FC Barcelona;Manchester United;Liverpool
285;Sport;"Co oznacza skrót ""DSQ"" w wynikach zawodów?";Did Not Start;Disqualified;Did Not Finish;Distance Squared;Disqualified
286;Sport;"Ile punktów warty jest ""Bullseye"" (czerwony środek) w darcie?";25;50;60;100;50
287;Sport;W jakiej dyscyplinie sportu Polacy zdobyli złoto drużynowe w Lahti 2017?;Biegi narciarskie;Skoki narciarskie;Kombinacja norweska;Hokej;Skoki narciarskie
288;Literatura;"Kto napisał epopeję narodową ""Pan Tadeusz""?";Juliusz Słowacki;Adam Mickiewicz;Henryk Sienkiewicz;Bolesław Prus;Adam Mickiewicz
289;Literatura;Za jaką powieść Władysław Reymont otrzymał Nagrodę Nobla?;Ziemia obiecana;Chłopi;Komediantka;Rok 1794;Chłopi
290;Literatura;"Jak nazywa się główny bohater ""Lalki"" Bolesława Prusa?";Ignacy Rzecki;Stanisław Wokulski;Tomasz Łęcki;Julian Ochocki;Stanisław Wokulski
291;Literatura;Kto jest autorem trylogii fantasy o Wiedźminie?;Stanisław Lem;Andrzej Pilipiuk;Jacek Dukaj;Andrzej Sapkowski;Andrzej Sapkowski
292;Literatura;Treny Jana Kochanowskiego zostały napisane po śmierci:;Jego żony;Jego córki Urszulki;Króla Zygmunta;Jego matki;Jego córki Urszulki
293;Literatura;W którym roku Olga Tokarczuk otrzymała literacką Nagrodę Nobla?;2015;2018;2019;2020;2019
294;Literatura;"Kto napisał ""Zbrodnię i karę""?";Lew Tołstoj;Fiodor Dostojewski;Anton Czechow;Mikołaj Gogol;Fiodor Dostojewski
295;Literatura;"Jakie imię nosi główna bohaterka ""Moralności pani Dulskiej""?";Aniela;Hesia;Mela;Juliasiewiczowa;Aniela
296;Literatura;"Kto jest autorem ""Wesela""?";Stefan Żeromski;Władysław Reymont;Stanisław Wyspiański;Kazimierz Przerwa-Tetmajer;Stanisław Wyspiański
297;Literatura;Romeo i Julia to dzieło:;Moliera;Williama Szekspira;Dantego;Charlesa Dickensa;Williama Szekspira
298;Literatura;"Kto napisał hymn ""Mazurek Dąbrowskiego""?";Józef Wybicki;Adam Mickiewicz;Juliusz Słowacki;Ignacy Krasicki;Józef Wybicki
299;Literatura;"Kto jest autorem powieści ""Quo Vadis""?";Bolesław Prus;Henryk Sienkiewicz;Stefan Żeromski;Eliza Orzeszkowa;Henryk Sienkiewicz
300;Literatura;"Jak nazywa się narrator w ""Lalce"" (Pamiętnik starego subiekta)?";Stanisław Wokulski;Ignacy Rzecki;Geist;Szuman;Ignacy Rzecki
301;Literatura;"Kto napisał ""Małego Księcia""?";Victor Hugo;Antoine de Saint-Exupéry;Albert Camus;Juliusz Verne;Antoine de Saint-Exupéry
302;Literatura;"Jakie nazwisko nosi główny bohater ""Ferdydurke""?";Cezary Baryka;Józio Kowalski;Zenon Ziembiewicz;Artur;Józio Kowalski
303;Literatura;"Kto napisał ""Folwark zwierzęcy""?";Aldous Huxley;George Orwell;Ray Bradbury;J.R.R. Tolkien;George Orwell
304;Literatura;Wisława Szymborska otrzymała Nagrodę Nobla w roku:;1980;1996;2000;2005;1996
305;Literatura;"Kto jest autorem cyklu ""Kroniki Narnii""?";J.R.R. Tolkien;C.S. Lewis;J.K. Rowling;Philip Pullman;C.S. Lewis
306;Literatura;Balladyna to dramat autorstwa:;Adama Mickiewicza;Zygmunta Krasińskiego;Juliusza Słowackiego;Cypriana Norwida;Juliusza Słowackiego
307;Literatura;"Jak nazywa się smok w ""Hobbicie""?";Smaug;Glaurung;Ancalagon;Drogon;Smaug
308;Literatura;Jak brzmi prawdziwe nazwisko Bolesława Prusa?;Aleksander Głowacki;Henryk Sienkiewicz;Stefan Żeromski;Teodor Parnicki;Aleksander Głowacki
309;Literatura;"Kto napisał ""Zemstę""?";Adam Mickiewicz;Aleksander Fredro;Juliusz Słowacki;Stanisław Wyspiański;Aleksander Fredro
310;Literatura;"Kto jest autorem ""Sklepów cynamonowych""?";Witold Gombrowicz;Bruno Schulz;Stanisław Ignacy Witkiewicz;Julian Tuwim;Bruno Schulz
311;Literatura;Kamienie na szaniec Aleksandra Kamińskiego opowiadają o:;Wojnie obronnej 1939;Szarych Szeregach;Powstaniu Styczniowym;Legionach Piłsudskiego;Szarych Szeregach
312;Literatura;"Kto napisał ""Solaris""?";Stanisław Lem;Janusz A. Zajdel;Jacek Dukaj;Philip K. Dick;Stanisław Lem
313;Literatura;"Kto jest autorem ""Krzyżaków""?";Józef Ignacy Kraszewski;Henryk Sienkiewicz;Adam Mickiewicz;Stefan Żeromski;Henryk Sienkiewicz
314;Literatura;"W jakiej epoce powstał ""Bogurodzica""?";Średniowiecze;Renesans;Barok;Oświecenie;Średniowiecze
315;Literatura;"Kto napisał ""Nad Niemnem""?";Maria Konopnicka;Eliza Orzeszkowa;Zofia Nałkowska;Bolesław Prus;Eliza Orzeszkowa
316;Literatura;Kto jest twórcą postaci Sherlocka Holmesa?;Agatha Christie;Arthur Conan Doyle;Edgar Allan Poe;G.K. Chesterton;Arthur Conan Doyle
317;Literatura;"Jak brzmi nazwisko rodowe Tadeusza z ""Pana Tadeusza""?";Horeszko;Soplica;Dobrzyński;Jasiński;Soplica
318;Literatura;"W jakim mieście toczy się akcja ""Zbrodni i kary""?";W Moskwie;W Petersburgu;W Kijowie;W Odessie;W Petersburgu
319;Literatura;Jaką nazwę nosi grupa poetycka, do której należał Julian Tuwim?;Skamander;Żagary;Awangarda Krakowska;Kwadryga;Skamander
320;Literatura;"Kto napisał ""Dziady""?";Juliusz Słowacki;Adam Mickiewicz;Zygmunt Krasiński;Cyprian Norwid;Adam Mickiewicz
321;Literatura;"Kto napisał ""Jądro ciemności""?";Joseph Conrad;Rudyard Kipling;Ernest Hemingway;Mark Twain;Joseph Conrad
322;Literatura;Kordian to dramat:;Adama Mickiewicza;Juliusza Słowackiego;Zygmunta Krasińskiego;Stanisława Wyspiańskiego;Juliusza Słowackiego
323;Literatura;"Kto jest autorem wiersza ""Lokomotywa""?";Jan Brzechwa;Julian Tuwim;Aleksander Fredro;Maria Konopnicka;Julian Tuwim
324;Literatura;"Kto jest autorem ""Pana Wołodyjowskiego""?";Henryk Sienkiewicz;Józef Ignacy Kraszewski;Adam Mickiewicz;Bolesław Prus;Henryk Sienkiewicz
325;Literatura;"Kto napisał ""Syzyfowe prace""?";Henryk Sienkiewicz;Stefan Żeromski;Bolesław Prus;Władysław Reymont;Stefan Żeromski
326;Literatura;"Kto jest autorem ""Władcy Pierścieni""?";George R.R. Martin;J.R.R. Tolkien;Ursula Le Guin;Frank Herbert;J.R.R. Tolkien
327;Literatura;"Rota (""Nie rzucim ziemi..."") to utwór:";Marii Konopnickiej;Adama Mickiewicza;Juliusza Słowackiego;Cypriana Norwida;Marii Konopnickiej
328;Literatura;"Kto napisał ""Cierpienia młodego Wertera""?";Friedrich Schiller;Johann Wolfgang Goethe;Thomas Mann;Heinrich Heine;Johann Wolfgang Goethe
329;Literatura;W pustyni i w puszczy to powieść dla młodzieży:;Bolesława Prusa;Henryka Sienkiewicza;Kornela Makuszyńskiego;Adama Bahdaja;Henryka Sienkiewicza
330;Literatura;"Kto napisał ""Starego człowieka i morze""?";John Steinbeck;Ernest Hemingway;William Faulkner;F. Scott Fitzgerald;Ernest Hemingway
331;Literatura;"Kto jest autorem ""Faraona""?";Henryk Sienkiewicz;Bolesław Prus;Teodor Parnicki;Jarosław Iwaszkiewicz;Bolesław Prus
332;Literatura;Jak nazywa się epoka literacka po Romantyzmie w Polsce?;Młoda Polska;Pozytywizm;Oświecenie;Dwudziestolecie;Pozytywizm
333;Literatura;"Jak nazywa się główny bohater ""Potopu""?";Jan Skrzetuski;Andrzej Kmicic;Michał Wołodyjowski;Onufry Zagłoba;Andrzej Kmicic
334;Literatura;"Jaką formę literacką mają ""Treny""?";Powieść;Cykl wierszy żałobnych;Dramat;Epos;Cykl wierszy żałobnych
335;Marvel;Jak nazywa się materiał, z którego wykonana jest tarcza Kapitana Ameryki?;Adamantium;Vibranium;Carbonadium;Uru;Vibranium
336;Marvel;"W którym roku miała miejsce premiera pierwszego ""Iron Mana""?";2006;2007;2008;2010;2008
337;Marvel;"Jak nazywa się planeta, na której zdobywa się Kamień Duszy (w ""Endgame"" i ""Infinity War"")?";Vormir;Titan;Xandar;Morag;Vormir
338;Marvel;Kto stworzył Ultrona w filmowym uniwersum (MCU)?;Hank Pym;Tony Stark i Bruce Banner;Reed Richards;Shuri;Tony Stark i Bruce Banner
339;Marvel;Jak brzmi prawdziwe imię Czarnej Pantery?;M'Baku;N'Jobu;T'Chaka;T'Challa;T'Challa
340;Marvel;Ile jest Kamieni Nieskończoności?;5;6;7;8;6
341;Marvel;Jak nazywa się siostra Thora (w MCU)?;Angela;Amora;Hela;Sif;Hela
342;Marvel;Kto zabił rodziców Tony'ego Starka?;Red Skull;Ivan Vanko;Zimowy Żołnierz;Loki;Zimowy Żołnierz
343;Marvel;Jak nazywa się sztuczna inteligencja, która zastąpiła JARVIS-a w zbroi Tony'ego?;KAREN;EDITH;FRIDAY;VERONICA;FRIDAY
344;Marvel;Jak nazywa się ojciec Petera Quilla (Star-Lorda) w filmie?;J'son;Yondu;Ego;Thanos;Ego
345;Marvel;"W jakiej miejscowości Wanda Maximoff stworzyła swoją ""rzeczywistość"" (Hex)?";Eastview;Westview;Northview;Southview;Westview
346;Marvel;Jak nazywa się młot Thora?;Stormbreaker;Mjolnir;Gungnir;Hofund;Mjolnir
347;Marvel;Jak nazywa się demon, który włada wymiarem Dark Dimension?;Mephisto;Dormammu;Nightmare;Shuma-Gorath;Dormammu
348;Marvel;Z jakiego metalu są szpony Wolverine'a?;Vibranium;Adamantium;Uru;Tytan;Adamantium
349;Marvel;Jak nazywa się olbrzymi wilk, wierzchowiec Heli?;Fenris;Skurge;Surtur;Garm;Fenris
350;Marvel;"Jak nazywa się rasa, która zmienia kształty (pojawia się w ""Kapitan Marvel"")?";Kree;Skrulle;Chitauri;Flerken;Skrulle
351;Marvel;Jaki kolor ma Kamień Czasu?;Niebieski;Czerwony;Zielony;Pomarańczowy;Zielony
352;Marvel;Kto jest autorem komiksów, który pojawiał się w cameo w prawie każdym filmie Marvela do 2019?;Jack Kirby;Steve Ditko;Stan Lee;Kevin Feige;Stan Lee
353;Marvel;Jak brzmi prawdziwe nazwisko Scarlet Witch?;Natasha Romanoff;Wanda Maximoff;Jean Grey;Carol Danvers;Wanda Maximoff
354;Marvel;W którym filmie Spider-Man zadebiutował w MCU?;Spider-Man: Homecoming;Avengers: Czas Ultrona;Kapitan Ameryka: Wojna Bohaterów;Iron Man 2;Kapitan Ameryka: Wojna Bohaterów
355;Marvel;Jak nazywa się asgardzki strażnik Bifrostu (przed Skurge'em)?;Heimdall;Volstagg;Fandral;Hogun;Heimdall
356;Marvel;Kto jest twórcą symbiontów (w tym Venoma) w komiksach?;Knull;Carnage;Riot;Galactus;Knull
357;Marvel;"Kto zabił Quicksilvera w ""Czasie Ultrona""?";Ultron (strzelając z Quinjeta);Hulk;Scarlet Witch;Iron Man;Ultron (strzelając z Quinjeta)
358;Marvel;Jak nazywa się alter ego Bucky'ego Barnesa?;Zimowy Żołnierz;Falcon;Patriot;US Agent;Zimowy Żołnierz
359;Marvel;Jak nazywa się organizacja terrorystyczna porywająca Tony'ego Starka w pierwszym filmie?;Hydra;Dziesięć Pierścieni;A.I.M.;Serpent Society;Dziesięć Pierścieni
360;Marvel;"Kto uratował Tony'ego Starka i Nebulę z kosmosu w ""Endgame""?";Thor;Rocket;Kapitan Marvel;Kraglin;Kapitan Marvel
361;Marvel;Kto jest miłością życia Steve'a Rogersa?;Sharon Carter;Peggy Carter;Natasha Romanoff;Maria Hill;Peggy Carter
362;Marvel;"Jak nazywa się planeta zniszczona przez Surtura w ""Ragnarok""?";Asgard;Vanaheim;Midgard;Jotunheim;Asgard
363;Marvel;Jak nazywa się broń używana przez Yondę (sterowana gwizdaniem)?;Strzała Yaka;Bumerang;Gwiazdka;Dagger;Strzała Yaka
364;Star Wars;Jak nazywa się rodzinna planeta Anakina Skywalkera?;Naboo;Coruscant;Tatooine;Jakku;Tatooine
365;Star Wars;Kto był mistrzem Qui-Gon Jinna?;Yoda;Hrabia Dooku;Mace Windu;Obi-Wan Kenobi;Hrabia Dooku
366;Star Wars;Jaki kolor miecza świetlnego posiadał Mace Windu?;Niebieski;Zielony;Czerwony;Fioletowy;Fioletowy
367;Star Wars;"W którym roku odbyła się premiera ""Nowej Nadziei"" (Epizod IV)?";1975;1977;1980;1983;1977
368;Star Wars;Jak nazywa się rasa, do której należy Chewbacca?;Ewok;Jawa;Wookiee;Rodianin;Wookiee
369;Star Wars;Kto wydał Rozkaz 66?;Darth Vader;Wilhuff Tarkin;Imperator Palpatine;Hrabia Dooku;Imperator Palpatine
370;Star Wars;Jak nazywał się statek Boby Fetta (przed zmianą nazwy w kanonie)?;Slave I;Millennium Falcon;Ghost;Razor Crest;Slave I
371;Star Wars;"Na jakiej planecie odbyła się bitwa z maszynami kroczącymi AT-AT w ""Imperium Kontratakuje""?";Endor;Hoth;Dagobah;Bespin;Hoth
372;Star Wars;Kto zabił Jabbę the Hutt?;Han Solo;Luke Skywalker;Leia Organa;Boba Fett;Leia Organa
373;Star Wars;Jaki numer nosił szturmowiec, którym był Finn?;FN-2187;TK-421;CT-7567;RX-24;FN-2187
374;Star Wars;Jak nazywa się planeta, na której produkowano klony?;Geonosis;Kamino;Mustafar;Utapau;Kamino
375;Star Wars;Kto jest twórcą C-3PO?;Anakin Skywalker;Padmé Amidala;Owen Lars;Bail Organa;Anakin Skywalker
376;Star Wars;Jak nazywa się przybrana matka księżniczki Lei?;Shmi Skywalker;Breha Organa;Mon Mothma;Beru Lars;Breha Organa
377;Star Wars;Z jakiego materiału wykonana jest zbroja Mandalorianina (Dina Djarina)?;Durastal;Beskar;Cortosis;Phrik;Beskar
378;Star Wars;"Kto dowodził Gwiazdą Śmierci w ""Nowej Nadziei""?";Darth Vader;Wielki Moff Tarkin;Admirał Piett;Generał Veers;Wielki Moff Tarkin
379;Star Wars;Jak nazywa się rasa małych zbieraczy złomu z Tatooine?;Tuskeni;Jawowie;Gamorreanie;Toydarianie;Jawowie
380;Star Wars;Kto odciął rękę Mace'owi Windu?;Palpatine;Darth Maul;Hrabia Dooku;Anakin Skywalker;Anakin Skywalker
